SPN,FMI,Foutcodelijst,Foutcode,Omschrijving,Categorie,Oorzaak,Effect,Aangeraden actie
516153,5,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 2 error,Current below normal or open circuit,Critical,,,
516153,6,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 2 error,Current above normal or shorted to ground,Critical,,,
516153,6,Terberg - ATCC2 series,Groupswitch 2,Current above normal,Critical,The current of groupswitch 2 is above normal. One of the outputs connected to groupswitch 2 could be short to ground.,Every output connected to groupswitch 2 is not functioning., Please check all the outputs connected to groupswitch 2 to find the issue. These outputs are controller pin A73 - A81.
516153,14,Terberg - ATCC2 series,Groupswitch 2, Special Instructions,Critical,"One of the outputs connected to groupswitch 2 is causing this problem.
",Every output connected to groupswitch 2 is not functioning., Please check all the outputs connected to groupswitch 2 to find the issue. These outputs are controller pin A73 - A81.
516153,14,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 2 error,Special instruction,Critical,,,
516154,3,Terberg - ATCC2 series,Groupswitch 3,Voltage above normal,Critical,"The voltage of groupswitch 3 is above normal. One of the outputs connected to groupswitch 3 is causing this high voltage.
",Every output connected to groupswitch 3 is not functioning.," 
Please check all the outputs connected to groupswitch 3 to find the issue. These outputs are controller pin B16 - B24."
516154,3,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 3 error,Voltage above normal or shorted to source,Critical,,,
516154,4,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 3 error,Voltage below normal or shorted to ground,Critical,,,
516154,4,Terberg - ATCC2 series,Groupswitch 3,Voltage below normal,Critical,The voltage of groupswitch 3 is below normal. One of the outputs connected to groupswitch 3 is causing this low voltage.,Every output connected to groupswitch 3 is not functioning.," 
Please check all the outputs connected to groupswitch 3 to find the issue. These outputs are controller pin B16 - B24."
516154,5,Terberg - ATCC2 series,Groupswitch 3,Current below normal,Critical,The current of groupswitch 3 is below normal. One of the outputs connected to groupswitch 3 could be short to battery or open circuit.,Every output connected to groupswitch 3 is not functioning.,Please check all the outputs connected to groupswitch 3 to find the issue. These outputs are controller pin B16 - B24.
516154,5,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 3 error,Current below normal or open circuit,Critical,,,
516154,6,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 3 error,Current above normal or shorted to ground,Critical,,,
516154,6,Terberg - ATCC2 series,Groupswitch 3,Current above normal,Critical,"The current of groupswitch 3 is above normal. One of the outputs connected to groupswitch 3 could be short to ground.
",Every output connected to groupswitch 3 is not functioning.,Please check all the outputs connected to groupswitch 3 to find the issue. These outputs are controller pin B16 - B24.
516154,14,Terberg - ATCC2 series,Groupswitch 3, Special Instructions,Critical,"One of the outputs connected to groupswitch 3 is causing this problem.
",Every output connected to groupswitch 3 is not functioning.," 
Please check all the outputs connected to groupswitch 3 to find the issue. These outputs are controller pin B16 - B24."
516154,14,Terberg - CC2 (ytxx3) - 4.1,Groupswitch 3 error,Special instruction,Critical,,,
516161,9,Terberg - CC2 (ytxx3) - 4.1,Hella intelligent battery sensor (IBS) CAN node,The YTCC detected that the status message from the Hella IBS is not available on the TB1CAN bus indicating that the Hella IBS CAN node is not available,Warning,The YTCC did not receive any CAN messages from the Hella IBS CAN node within a certain timeframe,"The YTCC is unable to determine the status of the 24V BMS. Without this information, optimalisation of the charging strategy for the 24V battery is not possible","Open the CAN Network check menu and check if the IBS is available on the CAN Network. If the IBS is not available, not active or error check the CANbus, LINbus and power supply of the IBS. Also check if the LIN to CAN converter is operational. If it is available check if any message from source address 0x1E is present on the TB1CAN bus. If there is a message on the TB1CAN bus from the source address mentioned before check if the YTCC is operational. When the YTCC is operational try flashing the vehicle with the latest software set available for the vehicle. Try replacing the LIN to CAN converter, try replacing the IBS"
516172,2,Terberg - CC2 (ytxx3) - 4.1,DBW User 07 message,"Checksum incorrect
",Warning,,,
516172,9,Terberg - CC2 (ytxx3) - 4.1,DBW User 07 message,Message not received,Warning,,,
516173,9,Terberg - CC2 (ytxx3) - 4.1,J1939 TPMS node timeout,J1939 TPMS node timeout,Warning,,,
516174,3,Terberg - ATCC2 series,Brake pedal position signal 1,Voltage above normal,Critical,The voltage measured on pin 67 of the A connector is above the normal value,"The first part of the brake pedal stroke (in which electronic braking is active) is not functioning correct. In DBW mode, protective stop will be activated",Check pin 67A on the ATCC2 or check the connector on the brake pedal
516174,4,Terberg - ATCC2 series,Brake pedal position signal 1,Voltage below normal,Critical,The voltage measured on pin 67 of connector A is below the normal value,"In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal",Please check pin 67 of connector A
516174,11,Terberg - ATCC2 series,Brake pedal position signal 1,Root cause unknown,Critical,"The controller determines an issue on pin 67 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516175,3,Terberg - ATCC2 series,Brake pedal position signal 2,Voltage above normal,Critical,The voltage measured on pin 59 of the A connector is above the normal value,"In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal",Check pin 59A on the ATCC2 or check the connector on the brake pedal
516175,4,Terberg - ATCC2 series,Brake pedal position signal 2,Voltage below normal,Critical,The voltage measured on pin 59 of the A connector is below the normal value,"In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal",Check pin 59A on the ATCC2 or check the connector on the brake pedal
516175,11,Terberg - ATCC2 series,Brake pedal position signal 2,Root cause unknown,Critical,"The controller determines an issue on pin 59 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516176,5,Terberg - ATCC2 series,Proportional brake valve rear,Current below normal,Critical,"Possibly a open connection, wirebreak or short circuit to ground",The brake valve will not function properly,Check Pin 79A or 16B on the ATCC2 for a faulty connection
516176,6,Terberg - ATCC2 series,Proportional brake valve rear,Current above normal,Critical,Possibly a short circuit to the battery,The brake valve will not function properly,Check Pin 79A or 16B on the ATCC2 for a faulty connection
516176,31,Terberg - ATCC2 series,Proportional brake valve rear 79 of the A connector or 16 of the B connector. It is possibly a short to ground or short to battery, Condition Exists,Critical,The controller detects a fault on pin ,The brake valve will not function properly,Please check pin 79 of the A connector and / or pin 16 of the B connector
516177,5,Terberg - ATCC2 series,Proportional brake valve front,Current below normal,Critical,"Possibly a open connection, wirebreak or short circuit to ground",The brake valve will not function properly,Check Pin 22A or 06A on the ATCC2 for a faulty connection
516177,6,Terberg - ATCC2 series,Proportional brake valve front,Current above normal,Critical,Possibly a short circuit to the battery,The brake valve will not function properly,Check Pin 22A or 06A on the ATCC2 for a faulty connection
516177,31,Terberg - ATCC2 series,Proportional brake valve front, Condition Exists,Critical,The signal is most likely either shorted to ground or to the battery,The brake valve will not function properly,Check Pin 22A or 06A on the ATCC2 for a faulty connection
516178,2,Terberg - ATCC2 series,Brake pedal position,Redundant signals not equal,Critical,There is a mismatch between signal 1 and signal 2 of the brake pedal position,"In manual mode it is no longer possible to release control and switch to DBW Mode. Also a speed limiter will be applied.

In DBW mode a protective stop will be activated since the brake pedal state cannot be determined prevenet a proper functioning of the driver intervention via brake pedal",Please check pin 67 of connector A (signal 1) and pin 59 of connector A (signal 2) 
516179,11,Terberg - ATCC2 series,Manual release side right button,Root cause unknown,Warning,"The controller determines an issue on pin 39 or 47 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue",It will no longer be possible to switch to DBW mode,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516180,11,Terberg - ATCC2 series,Manual take over side right button,Root cause unknown,Critical,"The controller determines an issue on pin 37 or 45 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","In manual mode: It will no longer be possible to switch to DBW mode.

In DBW Mode: A protective stop will be activated","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516181,11,Terberg - ATCC2 series,Manual release cabin button,Root cause unknown,Warning,"The controller determines an issue on pin 58 or 66 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue",It will no longer be possible to switch to DBW mode,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516182,11,Terberg - ATCC2 series,DBW authorization switch,Root cause unknown,Warning,"The controller determines an issue on pin 38 or 46 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue",It will no longer be possible to switch to DBW mode,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516183,11,Terberg - ATCC2 series,Manual release side left button,Root cause unknown,Warning,"The controller determines an issue on pin 11 or 41 of connector B. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue",It will no longer be possible to switch to DBW mode,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516184,11,Terberg - ATCC2 series,Manual take over side left button,Root cause unknown,Critical,"The controller determines an issue on pin 12 or 42 of connector B. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","In manual mode: It will no longer be possible to switch to DBW mode.

In DBW Mode: A protective stop will be activated","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516186,2,Terberg - ATCC2 series,Steering control error,Unintended steering,Critical,"In DBW mode, the requested steering angle is not reached or the steering angle did not move fast enough towards the requested steering angle. Perhaps something is wrong with the steering angle sensors or the steering calibration is off.","Protective stop will be triggered, automatic steering will be blocked ","Re-calibrate the DBW steering control. When something is wrong with the steering angle sensors, this will be noticed during calibration as well."
516186,14,Terberg - ATCC2 series,Steering control error,PVED-CLS operating state invalid ,Critical,"The steering controller is not in autonomous mode, while the vehicle is in DBW mode. This is most likely caused by a safe state triggered in the steering controller. It might be, but is less likely erratic CAN requests transmitted to the steering controller.",Protective stop will be triggered in DBW mode,"Please check if the PVED is powered on and check if it is still properly connected to the TB2 CAN bus. This can be checked via the CAN network check menu on the display. In case the PVED is on and connected to the TB2 CAN, please contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516186,31,Terberg - ATCC2 series,Steering control error, Condition Exists,Critical,"Something is wrong with the steering controller (PVED). It might be powered off, or not correctly communicating on the TB2 CAN bus. It is also possible the PVED is defect.",Speed limit of 5 km/h is activated in manual mode. Protective stop is activated in DBW mode.,"Please check if the PVED is powered on and check if it is still properly connected to the TB2 CAN bus. This can be checked via the CAN network check menu on the display. If this all looks ok, swapping the PVED might be needed."
516187,11,Terberg - ATCC2 series,Reset button,Root cause unknown,Warning,"The controller determines an issue on pin 55 or 63 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue",The button might not function properly therefore the user might be unable to reset errors,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516188,16,Terberg - CC2 (ytxx3) - 4.1,Hydraulic oil temperature high.,"The hydraulic oil temperature is high. When it becomes too high, the hydraulic application will be disabled.

When the hydraulic oil temperature becomes too high, the extra hydraulic application will be disabled.",Warning,,,Let the hydraulic oil cool down
516189,0,Terberg - CC2 (ytxx3) - 4.1,Hydraulic oil temperature too high.,"The hydraulic oil temperature is too high, the extra hydraulic application is disabled",Critical,,,Let the hydraulic oil cool down
516190,31,Terberg - ATCC2 series,Park brake release - pressure too low,Pressure is smaller than 540 kpa while park brake is released,Critical,"Perhaps the park brake pressure sensor is faulty, or there might be a leak in the pneumatic system.",Speed limit of 5 km/h is activated in manual mode. Protective stop is activated in DBW mode.,Check for air leaking from the pneumatic system. You should be able to hear air leaking. Otherwise swap the park brake pressure sensor
516191,31,Terberg - ATCC2 series,Park brake pressure released too fast,The park brake pressure has been released too fast,Critical,"The throttle valve might be missing in the park brake pneumatic system. The park brake pressure sensor might be faulty  or there might be a leak in the pneumatic system.

Note: please prevent cycling the park brake request any faster than 3 seconds as this will not give the pneumatic system enough time to reach some pressure points and will likely trigger a pressure monitoring safety function.",Speed limit of 5 km/h is activated in manual mode. Protective stop is activated in DBW mode.,Please check if the throttle valve has been installed in the electronic park brake system. Check for air leaking from the pneumatic system. You should be able to hear air leaking. Otherwise swap the park brake pressure sensor
516197,31,Terberg - ATCC2 series,Steering power monitoring,No power due to engine off,Critical,"This cause is fueltype specific:
Diesel: The engine is not running, therefore there is no hydraulic pressure.

EV: The hydraulic pump is not running",Power steering is disabled which in turn causes automatic steering to be in error,"This is fueltype specific:
Diesel: Please start the engine. 

EV: Please check if the hydraulic pump is running (EAMS message on J1939)

If the steering power monitor function keeps failing, please check the hydraulic piping"
516203,5,Terberg - ATCC2 series,Park brake lever sensor,Current below normal,Warning,"Possibly a open connection, wirebreak or short circuit to ground","Without a proper sensor value, the vehicle cannot be switched to DBW mode.

The park brake can also not be released",Check Pin 69A on the ATCC2 for a faulty connection
516203,6,Terberg - ATCC2 series,Park brake lever sensor,Current above normal,Warning,Possibly a short circuit to the battery,"Without a proper sensor value, the vehicle cannot be switched to DBW mode.

The park brake can also not be released",Check Pin 69A on the ATCC2 for a faulty connection
516203,11,Terberg - ATCC2 series,Park brake lever sensor,Root cause unknown,Warning,"The controller determines an issue on pin 69 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","Without a proper sensor value, the vehicle cannot be switched to DBW mode.

The park brake can also not be released","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516205,5,Terberg - ATCC2 series,Manual release button light,Current below normal,Warning,"Possibly a open connection, wirebreak  or short circuit to ground",The light might not function properly, Check Pin 08A on the ATCC2 for a faulty connection or check the contact behind the button
516205,6,Terberg - ATCC2 series,Manual release button light,Current above normal,Warning,Possibly a short circuit to battery,The light might not function properly, Check Pin 08A on the ATCC2 for a short circuit or check the contact behind the button
516205,31,Terberg - ATCC2 series,Manual release button light, Condition Exists,Warning,The signal is either shorted to battery or shorted to ground,The light might not function properly	, Check Pin 08A on the ATCC2 for a short circuit or check the contact behind the button
516206,5,Terberg - ATCC2 series,Manual take over button light,Current below normal,Warning,"Possibly a open connection, wirebreak  or short circuit to ground",The light might not function properly,Check Pin 19A on the ATCC2 for a faulty connection or check the contact behind the button
516206,6,Terberg - ATCC2 series,Manual take over button light,Current above normal,Warning,Possibly a short circuit to battery,The light might not function properly, Check Pin 19A on the ATCC2 for a short circuit or check the contact behind the button
516206,31,Terberg - ATCC2 series,Manual take over button light, Condition Exists,Warning,The signal is either shorted to battery or shorted to ground,The light might not function properly	, Check Pin 19A on the ATCC2 for a short circuit or check the contact behind the button
516207,5,Terberg - CC2 (ytxx3) - 4.1,Dashboard Illumination,Current below normal or open circuit,Warning,,,
516207,6,Terberg - CC2 (ytxx3) - 4.1,Dashboard Illumination,Current above normal or grounded circuit,Warning,,,
516208,12,Terberg - CC2 (ytxx3) - 4.1,CHECKSUM-ERROR in the external flash,There was a problem reading or writing the non-volatile storage (Flash),Critical,,,Contact your Terberg representative.
516209,12,Terberg - CC2 (ytxx3) - 4.1,CHECKSUM-ERROR in EEPROM,There was a problem reading or writing the non-volatile storage (eeprom),Critical,,,Contact your Terberg representative.
516210,31,Terberg - ATCC2 series,Park brake apply - pressure too high,Pressure is larger than 30 kpa while park brake is applied,Critical,"Perhaps the park brake pressure sensor is faulty, or there might be a leak in the pneumatic system.",Speed limit of 5 km/h is activated in manual mode. Protective stop is activated in DBW mode.,Check for air leaking from the pneumatic system. You should be able to hear air leaking. Otherwise swap the park brake pressure sensor
516211,2,Terberg - ATCC2 series,Left wheel angle message,Message data error,Critical,The left wheel angle message data received from the left wheel angle sensor is not correct. ,When in DBW mode a protective stop is triggered.,Please check the left wheel angle sensor for any connection problems. Also check if the left wheel angle data is being sent on the TB2 CAN correctly.
516211,9,Terberg - ATCC2 series,Left wheel angle message,Message time-out,Critical,The left wheel angle message sent by the left wheel angle sensor has not been received for over 100 ms.	,When in DBW mode a protective stop is triggered.,Please check the left wheel angle sensor for any connection problems. Also check if the left wheel angle data is being sent on the TB2 CAN correctly.	
516211,11,Terberg - ATCC2 series,Left wheel angle message,Root cause unknown,Critical,The left wheel angle message sent by the right wheel angle sensor is not functioning properly.,When in DBW mode a protective stop is triggered.,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516212,2,Terberg - ATCC2 series,Right wheel angle message,Message data error,Critical,The right wheel angle message dat0a received from the right wheel angle sensor is not correct. ,When in DBW mode a protective stop is triggered.,Please check the right wheel angle sensor for any connection problems. Also check if the right wheel angle data is being sent on the TB2 CAN correctly.
516212,9,Terberg - ATCC2 series,Right wheel angle message,Message time-out,Critical,The right wheel angle message sent by the right wheel angle sensor has not been received for over 100 ms.	,When in DBW mode a protective stop is triggered.,Please check the right wheel angle sensor for any connection problems. Also check if the right wheel angle data is being sent on the TB2 CAN correctly.
516212,11,Terberg - ATCC2 series,Right wheel angle message,Root cause unknown,Critical,The right wheel angle message sent by the right wheel angle sensor is not functioning properly.,When in DBW mode a protective stop is triggered.,"- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
516213,2,Terberg - CC2 (ytxx3) - 4.1,5th wheel angle message	,Message data error,Warning,,,
516213,9,Terberg - CC2 (ytxx3) - 4.1,5th wheel angle message	,Message time-out,Warning,,,
516213,11,Terberg - CC2 (ytxx3) - 4.1,5th wheel angle message	, Root Cause Not Known,Warning,,,
516213,12,Terberg - CC2 (ytxx3) - 4.1,5th wheel angle sensor,Failure ,Critical,Possibly the sensor is disconnected or the mechanical connection came loose.,5th wheel height will be blocked.In DBW mode protective stop will be activated.,Check the 5th wheel angle sensor connection and attachment.
516214,2,Terberg - ATCC2 series,Steering feedback messages,Data error,Critical,The data received in the steering feedback messages from the PVED CLS is out of range.,When in DBW mode a protective stop is triggered.,Please check why the PVED CLS is not functioning properly
516214,9,Terberg - ATCC2 series,Steering feedback messages,Message time-out,Critical,The steering feedback messages sent by the PVED CLS have not been received for over 100 ms,When in DBW mode a protective stop is triggered.,Please check if the PVED CLS is functioning properly and sending the required messages on the TB2 CAN bus.
516214,19,Terberg - ATCC2 series,Steering feedback messages,crc or message counter error,Critical,The data received in the steering feedback messages from the PVED CLS contain a crc or message counter error.,When in DBW mode a protective stop is triggered., Please check if the PVED CLS is functioning properly and sending the feedback messages on the TB2 CAN bus correctly. 
516215,2,Terberg - ATCC2 series,Operation status messages,Data error,Critical,The data received in the operation state messages from the PVED CLS is out of range.,When in DBW mode a protective stop is triggered., Please check if the PVED CLS is functioning properly and sending the operation status messages on the TB2 CAN bus correctly. 
516215,9,Terberg - ATCC2 series,Operation status messages,Message time-out,Critical,The operation status messages sent by the PVED CLS have not been received for over 100 ms,When in DBW mode a protective stop is triggered.,Please check if the PVED CLS is functioning properly and sending the required messages on the TB2 CAN bus.
516215,19,Terberg - ATCC2 series,Operation status messages,crc or message counter error,Critical,The data received in the operation status messages from the PVED CLS contain a crc or message counter error.,When in DBW mode a protective stop is triggered., Please check if the PVED CLS is functioning properly and sending the feedback messages on the TB2 CAN bus correctly. 
516216,2,Terberg - ATCC2 series,DBW User 01 messages,Data error,Critical,One of the signals in DBW user 01 messages is out of range. This could be the safe stop request,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 01 message contents correctly
516216,9,Terberg - ATCC2 series,DBW User 01 messages,Message time-out,Critical,DBW user 01 message has not been received anymore for over 80ms.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is still connected and sending the DBW user 01 message at the correct update cycle of 20ms
516216,19,Terberg - ATCC2 series,DBW User 01 messages,crc or message counter error,Critical,The CRC check of the DBW user 01 messages is incorrect.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 01 message CRC and counter correctly
516217,2,Terberg - ATCC2 series,DBW User 02 messages,Data error,Critical,"One of the signals in DBW user 02 messages is out of range. This could be the park brake request, torque request or requested gear","When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 02 message contents correctly.
516217,9,Terberg - ATCC2 series,DBW User 02 messages,Message time-out,Critical,DBW user 02 message has not been received anymore for over 80 ms.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is still connected and sending the DBW user 02 message at the correct update cycle of 20ms
516217,19,Terberg - ATCC2 series,DBW User 02 messages,crc or message counter error,Critical,The CRC check of the DBW user 02 messages is incorrect. ,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 02 message CRC and counter correctly
516218,2,Terberg - ATCC2 series,DBW User 03 messages,Data error,Critical,One of the signals in DBW user 03 messages is out of range. This could be steering angle request or the steering angle neutral offset ,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 03 message contents correctly.
516218,9,Terberg - ATCC2 series,DBW User 03 messages,Message time-out,Critical,DBW user 03 message has not been received anymore for over 80 ms.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is still connected and sending the DBW user 03 message at the correct update cycle of 20ms
516218,19,Terberg - ATCC2 series,DBW User 03 messages,crc or message counter error,Critical,The CRC check of the DBW user 03 messages is incorrect. ,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is sending the DBW user 03 message CRC and counter correctly
516219,2,Terberg - ATCC2 series,DBW User 04 messages,Data error,Critical,"One of the signals in DBW user 04 messages is out of range. This could be the DBW control request, 5th wheel unlock request or 5th wheel height request","When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode",Please check if the DBW user is sending the DBW user 04 message contents correctly.
516219,9,Terberg - ATCC2 series,DBW User 04 messages,Message time-out,Critical,DBW user 04 message has not been received anymore for over 80 ms.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is still connected and sending the DBW user 04 message at the correct update cycle of 20ms
516219,19,Terberg - ATCC2 series,DBW User 04 messages,crc or message counter error,Critical,The CRC check of the DBW user 04 messages is incorrect.,"When in DBW mode a protective stop is triggered.
When in Manual mode it is no longer possible to switch to DBW mode", Please check if the DBW user is sending the DBW user 04 message CRC and counter correctly
